,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,LP001002,1.0,0.0,0.0,0.0,0.0,5849.0,0.0,128.0,360.0,1.0,2.0,1.0
1,LP001003,1.0,1.0,1.0,0.0,0.0,4583.0,1508.0,128.0,360.0,1.0,0.0,0.0
2,LP001005,1.0,1.0,0.0,0.0,1.0,3000.0,0.0,66.0,360.0,1.0,2.0,1.0
3,LP001006,1.0,1.0,0.0,1.0,0.0,2583.0,2358.0,120.0,360.0,1.0,2.0,1.0
4,LP001008,1.0,0.0,0.0,0.0,0.0,6000.0,0.0,141.0,360.0,1.0,2.0,1.0
5,LP001011,1.0,1.0,2.0,0.0,1.0,5417.0,4196.0,267.0,360.0,1.0,2.0,1.0
6,LP001013,1.0,1.0,0.0,1.0,0.0,2333.0,1516.0,95.0,360.0,1.0,2.0,1.0
7,LP001014,1.0,1.0,3.0,0.0,0.0,3036.0,2504.0,158.0,360.0,0.0,1.0,0.0
8,LP001018,1.0,1.0,2.0,0.0,0.0,4006.0,1526.0,168.0,360.0,1.0,2.0,1.0
9,LP001020,1.0,1.0,1.0,0.0,0.0,12841.0,10968.0,349.0,360.0,1.0,1.0,0.0
10,LP001024,1.0,1.0,2.0,0.0,0.0,3200.0,700.0,70.0,360.0,1.0,2.0,1.0
11,LP001027,1.0,1.0,2.0,0.0,-1.0,2500.0,1840.0,109.0,360.0,1.0,2.0,1.0
12,LP001028,1.0,1.0,2.0,0.0,0.0,3073.0,8106.0,200.0,360.0,1.0,2.0,1.0
13,LP001029,1.0,0.0,0.0,0.0,0.0,1853.0,2840.0,114.0,360.0,1.0,0.0,0.0
14,LP001030,1.0,1.0,2.0,0.0,0.0,1299.0,1086.0,17.0,120.0,1.0,2.0,1.0
15,LP001032,1.0,0.0,0.0,0.0,0.0,4950.0,0.0,125.0,360.0,1.0,2.0,1.0
16,LP001034,1.0,0.0,1.0,1.0,0.0,3596.0,0.0,100.0,240.0,1.0,2.0,1.0
17,LP001036,0.0,0.0,0.0,0.0,0.0,3510.0,0.0,76.0,360.0,0.0,2.0,0.0
18,LP001038,1.0,1.0,0.0,1.0,0.0,4887.0,0.0,133.0,360.0,1.0,0.0,0.0
19,LP001041,1.0,1.0,0.0,0.0,-1.0,2600.0,3500.0,115.0,360.0,1.0,2.0,1.0
20,LP001043,1.0,1.0,0.0,1.0,0.0,7660.0,0.0,104.0,360.0,0.0,2.0,0.0
21,LP001046,1.0,1.0,1.0,0.0,0.0,5955.0,5625.0,315.0,360.0,1.0,2.0,1.0
22,LP001047,1.0,1.0,0.0,1.0,0.0,2600.0,1911.0,116.0,360.0,0.0,1.0,0.0
23,LP001050,-1.0,1.0,2.0,1.0,0.0,3365.0,1917.0,112.0,360.0,0.0,0.0,0.0
24,LP001052,1.0,1.0,1.0,0.0,-1.0,3717.0,2925.0,151.0,360.0,1.0,1.0,0.0
25,LP001066,1.0,1.0,0.0,0.0,1.0,9560.0,0.0,191.0,360.0,1.0,1.0,1.0
26,LP001068,1.0,1.0,0.0,0.0,0.0,2799.0,2253.0,122.0,360.0,1.0,1.0,1.0
27,LP001073,1.0,1.0,2.0,1.0,0.0,4226.0,1040.0,110.0,360.0,1.0,2.0,1.0
28,LP001086,1.0,0.0,0.0,1.0,0.0,1442.0,0.0,35.0,360.0,1.0,2.0,0.0
29,LP001087,0.0,0.0,2.0,0.0,-1.0,3750.0,2083.0,120.0,360.0,1.0,1.0,1.0
30,LP001091,1.0,1.0,1.0,0.0,-1.0,4166.0,3369.0,201.0,360.0,1.0,2.0,0.0
31,LP001095,1.0,0.0,0.0,0.0,0.0,3167.0,0.0,74.0,360.0,1.0,2.0,0.0
32,LP001097,1.0,0.0,1.0,0.0,1.0,4692.0,0.0,106.0,360.0,1.0,0.0,0.0
33,LP001098,1.0,1.0,0.0,0.0,0.0,3500.0,1667.0,114.0,360.0,1.0,1.0,1.0
34,LP001100,1.0,0.0,3.0,0.0,0.0,12500.0,3000.0,320.0,360.0,1.0,0.0,0.0
35,LP001106,1.0,1.0,0.0,0.0,0.0,2275.0,2067.0,128.0,360.0,1.0,2.0,1.0
36,LP001109,1.0,1.0,0.0,0.0,0.0,1828.0,1330.0,100.0,360.0,0.0,2.0,0.0
37,LP001112,0.0,1.0,0.0,0.0,0.0,3667.0,1459.0,144.0,360.0,1.0,1.0,1.0
38,LP001114,1.0,0.0,0.0,0.0,0.0,4166.0,7210.0,184.0,360.0,1.0,2.0,1.0
39,LP001116,1.0,0.0,0.0,1.0,0.0,3748.0,1668.0,110.0,360.0,1.0,1.0,1.0
40,LP001119,1.0,0.0,0.0,0.0,0.0,3600.0,0.0,80.0,360.0,1.0,2.0,0.0
41,LP001120,1.0,0.0,0.0,0.0,0.0,1800.0,1213.0,47.0,360.0,1.0,2.0,1.0
42,LP001123,1.0,1.0,0.0,0.0,0.0,2400.0,0.0,75.0,360.0,1.0,2.0,1.0
43,LP001131,1.0,1.0,0.0,0.0,0.0,3941.0,2336.0,134.0,360.0,1.0,1.0,1.0
44,LP001136,1.0,1.0,0.0,1.0,1.0,4695.0,0.0,96.0,360.0,1.0,2.0,1.0
45,LP001137,0.0,0.0,0.0,0.0,0.0,3410.0,0.0,88.0,360.0,1.0,2.0,1.0
46,LP001138,1.0,1.0,1.0,0.0,0.0,5649.0,0.0,44.0,360.0,1.0,2.0,1.0
47,LP001144,1.0,1.0,0.0,0.0,0.0,5821.0,0.0,144.0,360.0,1.0,2.0,1.0
48,LP001146,0.0,1.0,0.0,0.0,0.0,2645.0,3440.0,120.0,360.0,0.0,2.0,0.0
49,LP001151,0.0,0.0,0.0,0.0,0.0,4000.0,2275.0,144.0,360.0,1.0,1.0,1.0
50,LP001155,0.0,1.0,0.0,1.0,0.0,1928.0,1644.0,100.0,360.0,1.0,1.0,1.0
51,LP001157,0.0,0.0,0.0,0.0,0.0,3086.0,0.0,120.0,360.0,1.0,1.0,1.0
52,LP001164,0.0,0.0,0.0,0.0,0.0,4230.0,0.0,112.0,360.0,1.0,1.0,0.0
53,LP001179,1.0,1.0,2.0,0.0,0.0,4616.0,0.0,134.0,360.0,1.0,2.0,0.0
54,LP001186,0.0,1.0,1.0,0.0,1.0,11500.0,0.0,286.0,360.0,0.0,2.0,0.0
55,LP001194,1.0,1.0,2.0,0.0,0.0,2708.0,1167.0,97.0,360.0,1.0,1.0,1.0
56,LP001195,1.0,1.0,0.0,0.0,0.0,2132.0,1591.0,96.0,360.0,1.0,1.0,1.0
57,LP001197,1.0,1.0,0.0,0.0,0.0,3366.0,2200.0,135.0,360.0,1.0,0.0,0.0
58,LP001198,1.0,1.0,1.0,0.0,0.0,8080.0,2250.0,180.0,360.0,1.0,2.0,1.0
59,LP001199,1.0,1.0,2.0,1.0,0.0,3357.0,2859.0,144.0,360.0,1.0,2.0,1.0
60,LP001205,1.0,1.0,0.0,0.0,0.0,2500.0,3796.0,120.0,360.0,1.0,2.0,1.0
61,LP001206,1.0,1.0,3.0,0.0,0.0,3029.0,0.0,99.0,360.0,1.0,2.0,1.0
62,LP001207,1.0,1.0,0.0,1.0,1.0,2609.0,3449.0,165.0,180.0,0.0,0.0,0.0
63,LP001213,1.0,1.0,1.0,0.0,0.0,4945.0,0.0,128.0,360.0,0.0,0.0,0.0
64,LP001222,0.0,0.0,0.0,0.0,0.0,4166.0,0.0,116.0,360.0,0.0,1.0,0.0
65,LP001225,1.0,1.0,0.0,0.0,0.0,5726.0,4595.0,258.0,360.0,1.0,1.0,0.0
66,LP001228,1.0,0.0,0.0,1.0,0.0,3200.0,2254.0,126.0,180.0,0.0,2.0,0.0
67,LP001233,1.0,1.0,1.0,0.0,0.0,10750.0,0.0,312.0,360.0,1.0,2.0,1.0
68,LP001238,1.0,1.0,3.0,1.0,1.0,7100.0,0.0,125.0,60.0,1.0,2.0,1.0
69,LP001241,0.0,0.0,0.0,0.0,0.0,4300.0,0.0,136.0,360.0,0.0,1.0,0.0
70,LP001243,1.0,1.0,0.0,0.0,0.0,3208.0,3066.0,172.0,360.0,1.0,2.0,1.0
71,LP001245,1.0,1.0,2.0,1.0,1.0,1875.0,1875.0,97.0,360.0,1.0,1.0,1.0
72,LP001248,1.0,0.0,0.0,0.0,0.0,3500.0,0.0,81.0,300.0,1.0,1.0,1.0
73,LP001250,1.0,1.0,3.0,1.0,0.0,4755.0,0.0,95.0,360.0,0.0,1.0,0.0
74,LP001253,1.0,1.0,3.0,0.0,1.0,5266.0,1774.0,187.0,360.0,1.0,1.0,1.0
75,LP001255,1.0,0.0,0.0,0.0,0.0,3750.0,0.0,113.0,480.0,1.0,2.0,0.0
76,LP001256,1.0,0.0,0.0,0.0,0.0,3750.0,4750.0,176.0,360.0,1.0,2.0,0.0
77,LP001259,1.0,1.0,1.0,0.0,1.0,1000.0,3022.0,110.0,360.0,1.0,2.0,0.0
78,LP001263,1.0,1.0,3.0,0.0,0.0,3167.0,4000.0,180.0,300.0,0.0,1.0,0.0
79,LP001264,1.0,1.0,3.0,1.0,1.0,3333.0,2166.0,130.0,360.0,1.0,1.0,1.0
80,LP001265,0.0,0.0,0.0,0.0,0.0,3846.0,0.0,111.0,360.0,1.0,1.0,1.0
81,LP001266,1.0,1.0,1.0,0.0,1.0,2395.0,0.0,128.0,360.0,1.0,1.0,1.0
82,LP001267,0.0,1.0,2.0,0.0,0.0,1378.0,1881.0,167.0,360.0,1.0,2.0,0.0
83,LP001273,1.0,1.0,0.0,0.0,0.0,6000.0,2250.0,265.0,360.0,1.0,1.0,0.0
84,LP001275,1.0,1.0,1.0,0.0,0.0,3988.0,0.0,50.0,240.0,1.0,2.0,1.0
85,LP001279,1.0,0.0,0.0,0.0,0.0,2366.0,2531.0,136.0,360.0,1.0,1.0,1.0
86,LP001280,1.0,1.0,2.0,1.0,0.0,3333.0,2000.0,99.0,360.0,1.0,1.0,1.0
87,LP001282,1.0,1.0,0.0,0.0,0.0,2500.0,2118.0,104.0,360.0,1.0,1.0,1.0
88,LP001289,1.0,0.0,0.0,0.0,0.0,8566.0,0.0,210.0,360.0,1.0,2.0,1.0
